p_DA,p_H,h_H,p_IM,E_RE,E_FC,lambda_DA_RE,lambda_IM
-10.0,10.0,154.4133708970593,8.03921568627451,8.03921568627451,8.195687198101329,25.54,27.99909
-10.0,10.0,154.4133708970593,9.019607843137258,9.019607843137257,8.709690726181778,25.19,26.999504
-4.125382642799596,10.0,154.4133708970593,3.586166956525087,9.46078431372549,9.333768586118888,25.01,25.009701
-7.65233780753597,10.0,154.4133708970593,7.30920055263401,9.65686274509804,8.538337586701726,24.87,24.869198
-6.309941418427499,10.0,154.4133708970593,6.113862987054951,9.803921568627452,9.943681907720116,25.17,22.499365
6.689270922784722,10.0,154.4133708970593,-6.836329746314135,9.852941176470587,10.0,25.55,25.550306
-10.0,10.0,154.4133708970593,9.852941176470587,9.852941176470587,8.889063219425585,25.65,25.649328
-10.0,10.0,154.4133708970593,9.901960784313726,9.901960784313726,7.66222829964269,25.42,22.813826
-10.0,10.0,154.4133708970593,9.901960784313726,9.901960784313726,9.800803206001389,24.78,22.999826
-10.0,10.0,154.4133708970593,9.901960784313726,9.901960784313726,8.234343600958452,24.11,19.000147
-10.0,10.0,154.4133708970593,9.852941176470587,9.852941176470587,10.0,23.16,19.000147
-10.0,10.0,154.4133708970593,9.901960784313726,9.901960784313726,8.626891421701298,21.33,19.000147
-10.0,10.0,154.4133708970593,9.852941176470587,9.852941176470587,8.374241791833608,19.31,17.999224
-6.660617808030011,10.0,154.4133708970593,6.513558984500598,9.852941176470587,8.350749895298836,20.11,16.099075
-1.7829358982213028,10.0,154.4133708970593,1.5868574668487554,9.803921568627452,8.796881503530416,19.37,14.99913
-0.8306905594156571,10.0,154.4133708970593,0.6836317358862445,9.852941176470587,9.939500925385468,18.36,14.99913
-2.6723718940847423,10.0,154.4133708970593,2.5253130705553293,9.852941176470587,10.0,18.34,14.99913
2.3010130246020513,10.0,154.4133708970593,-2.4480718481314643,9.852941176470587,8.493939196767286,18.16,10.120298
-0.8520438037334251,10.0,154.4133708970593,0.7049849802040118,9.852941176470587,10.0,18.66,9.499405
1.044562811839595,10.0,154.4133708970593,-1.1916216353690086,9.852941176470587,8.21666804171602,17.39,0.0
-10.0,10.0,154.4133708970593,9.852941176470587,9.852941176470587,10.0,18.22,2.499632
-8.212998797167973,10.0,154.4133708970593,8.016920365795425,9.803921568627452,10.0,22.1,10.999452
-1.270688883291196,10.0,154.4133708970593,1.0746104519186481,9.803921568627452,9.763626293163597,23.93,16.192745
-10.0,10.0,154.4133708970593,9.754901960784313,9.754901960784313,10.0,24.23,16.192745
-10.0,10.0,154.4133708970593,9.705882352941174,9.705882352941176,9.62404352491897,24.84,19.999733
-10.0,10.0,154.4133708970593,9.558823529411764,9.558823529411764,10.0,24.45,19.999733
-6.477322782516534,10.0,154.4133708970593,5.791048272712613,9.313725490196079,10.0,24.41,20.699575
-10.0,10.0,154.4133708970593,9.117647058823529,9.117647058823529,2.59719462776212,24.94,20.699575
8.96732345452003,10.0,154.4133708970593,-9.653597964323952,9.313725490196079,9.925261977356538,25.27,29.999599
